,Date Of Upload,Author,Vertical,Headline,Description
72,"March 29, 2016 12:31 IST",Sudhir Srinivasan,Reviews,"Sakalakala Vallavan: Old, crass and hostile","For a film that tries to be a comedy, Sakalakala Vallavan makes for a sombre experience."
73,"August 01, 2015 15:46 IST",Liffy Thomas,Downtown,“Restore two-way traffic on Casa Major Road”,Residents of Sait Colony are unhappy with the existing arrangement
74,"August 01, 2015 15:43 IST",T. S. Atul Swaminathan,Downtown,The missing numbers,Most bus stops on Kamarajar Salai lack display boards with route numbers
75,"August 01, 2015 15:38 IST",K. Sarumathi,Downtown,Mada Streets to become pedestrian-friendly soon,The design is ready and the work will begin immediately after the arrival of granite slabs
76,"August 01, 2015 14:28 IST",L. Kanthimathi,Downtown,Heavy vehicles kept out,Sai Nagar residents construct pillars on Second Main Road to prevent heavy vehicles from entering their colony
77,"August 01, 2015 14:07 IST",L. Kanthimathi,Downtown,Teaching compassion through animals,Students of German International School at Palavakkam rescue injured dogs and birds
78,"August 01, 2015 13:50 IST",K. Sarumathi,Downtown,“Education is the only way to empowerment”,A trust in Madhavaram conducts free tuition classes for underprivileged children. K. SARUMATHI reports
79,"August 01, 2015 13:50 IST",K. Sarumathi,Downtown,Residents of North Crescent Road fight for their space,No Description
80,"August 01, 2015 13:50 IST",T.S. Atul Swaminathan,Downtown,“We don’t have basic amenities”  ,"A federation of residents’ associations in Perumbakkam demands stormwater drains, underground drainage system and better roads."
81,"August 01, 2015 13:45 IST",Flavia Placidus,Downtown,Past master at portraying people,No Description
82,"August 01, 2015 13:44 IST",Liffy Thomas,Downtown,A parade of historical figures,A theatrical production by students and teachers of PSBB Group of Schools presents the inimitable lives of royals
83,"August 01, 2015 13:36 IST",K. Sarumathi,Downtown,Buckets come out as pipes leak,"Due to a fault in the RWH structure on Usman Road flyover, rainwater is being wasted"
84,"August 01, 2015 13:29 IST",T. S. Atul Swaminathan,Downtown,Students move into classrooms,Classes were conducted in the open for the children of this government school in Pallikaranai. Now they know what it means to study in comfortable settings
85,"March 29, 2016 12:32 IST",Bincy Mathew,Education Plus,"Synthesis, not analysis, is the future","Prof. Sanjay Dhande, former Director of IIT Kanpur and the Founder-Director of the Mahindra Ecole Centrale, speaks to BINCY MATHEW about training engineers in a holistic manner."
86,"March 29, 2016 12:32 IST","August 01, 2015 17:24 IST",Education Plus,Latest scholarship openings,No Description
87,"March 29, 2016 12:32 IST",Sarthak Saraswat,Education Plus,He will continue to inspire…,No Description
88,"March 29, 2016 15:59 IST",S. Upendran,Education Plus,Know Your English,No Description
89,"March 29, 2016 12:31 IST",Sarthak Saraswat,Education Plus,On the shelf: Acing admissions,No Description
90,"March 29, 2016 12:32 IST",Aakash Chaudhry,Careers,A case for career counselling,"As newer choices emerge, how do you zero in on the stream you wish to excel in?"
91,"March 29, 2016 12:32 IST","August 01, 2015 17:48 IST",Colleges,Internship opportunities,No Description
92,"March 29, 2016 12:32 IST","August 01, 2015 17:47 IST",Colleges,Test track,No Description
93,"March 29, 2016 12:32 IST","August 01, 2015 17:28 IST",Colleges,Aberystwyth University - IBERS has recruits two Newton Bhabha scholars,No Description
94,"March 29, 2016 12:32 IST",Sarthak Saraswat,Colleges,News from around the world,No Description
95,"March 29, 2016 12:31 IST","August 01, 2015 16:52 IST",Colleges,Newcastle University Scholarship,No Description
